"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024年9月10日","5,495.52","5,490.51","5,497.91","5,441.72","-","0.45%"
"2024年9月9日","5,471.05","5,442.07","5,484.20","5,434.49","-","1.16%"
"2024年9月6日","5,408.42","5,507.33","5,522.47","5,402.62","-","-1.73%"
"2024年9月5日","5,503.41","5,520.08","5,546.30","5,480.54","-","-0.30%"
"2024年9月4日","5,520.07","5,506.68","5,552.99","5,503.66","-","-0.16%"
"2024年9月3日","5,528.93","5,623.89","5,623.89","5,504.33","-","-2.12%"
"2024年8月30日","5,648.40","5,612.74","5,651.37","5,581.79","-","1.01%"
"2024年8月29日","5,591.96","5,607.30","5,646.95","5,583.71","-","-0.00%"
"2024年8月28日","5,592.18","5,624.51","5,627.03","5,560.95","-","-0.60%"
"2024年8月27日","5,625.80","5,602.89","5,631.18","5,593.48","-","0.16%"
"2024年8月26日","5,616.84","5,639.66","5,651.62","5,602.34","-","-0.32%"
"2024年8月23日","5,634.61","5,602.49","5,641.82","5,585.16","-","1.15%"
"2024年8月22日","5,570.64","5,637.77","5,643.22","5,560.95","-","-0.89%"
"2024年8月21日","5,620.85","5,603.09","5,632.68","5,591.57","-","0.42%"
"2024年8月20日","5,597.12","5,602.88","5,620.51","5,585.50","-","-0.20%"
"2024年8月19日","5,608.25","5,557.23","5,608.30","5,550.74","-","0.97%"
"2024年8月16日","5,554.25","5,530.50","5,561.98","5,525.17","-","0.20%"
"2024年8月15日","5,543.22","5,501.13","5,546.23","5,501.13","-","1.61%"
"2024年8月14日","5,455.21","5,442.36","5,463.22","5,415.91","-","0.38%"
"2024年8月13日","5,434.43","5,376.98","5,436.50","5,376.98","-","1.68%"
"2024年8月12日","5,344.39","5,351.88","5,371.20","5,324.37","-","0.00%"
"2024年8月9日","5,344.16","5,314.66","5,358.67","5,300.84","-","0.47%"
"2024年8月8日","5,319.31","5,252.57","5,328.03","5,233.85","-","2.30%"
"2024年8月7日","5,199.50","5,293.13","5,330.64","5,195.54","-","-0.77%"
"2024年8月6日","5,240.03","5,206.42","5,312.34","5,193.56","-","1.04%"
"2024年8月5日","5,186.33","5,151.14","5,250.89","5,119.26","-","-3.00%"
"2024年8月2日","5,346.56","5,376.63","5,383.89","5,302.03","-","-1.84%"
"2024年8月1日","5,446.68","5,537.84","5,566.16","5,410.42","-","-1.37%"
"2024年7月31日","5,522.30","5,505.59","5,551.51","5,493.75","-","1.58%"
"2024年7月30日","5,436.44","5,478.73","5,489.46","5,401.70","-","-0.50%"
"2024年7月29日","5,463.54","5,476.55","5,487.74","5,444.44","-","0.08%"
"2024年7月26日","5,459.10","5,433.67","5,488.32","5,430.70","-","1.11%"
"2024年7月25日","5,399.22","5,428.70","5,491.59","5,390.95","-","-0.51%"
"2024年7月24日","5,427.13","5,505.84","5,508.04","5,419.98","-","-2.31%"
"2024年7月23日","5,555.74","5,565.30","5,585.34","5,550.90","-","-0.16%"
"2024年7月22日","5,564.41","5,544.54","5,570.36","5,529.04","-","1.08%"
"2024年7月19日","5,505.00","5,543.37","5,557.50","5,497.04","-","-0.71%"
"2024年7月18日","5,544.59","5,608.56","5,614.05","5,522.81","-","-0.78%"
"2024年7月17日","5,588.27","5,610.07","5,622.49","5,584.81","-","-1.39%"
"2024年7月16日","5,667.20","5,644.09","5,669.67","5,639.02","-","0.64%"
"2024年7月15日","5,631.22","5,638.16","5,666.94","5,614.75","-","0.28%"
"2024年7月12日","5,615.35","5,590.76","5,655.56","5,590.44","-","0.55%"
"2024年7月11日","5,584.54","5,635.21","5,642.45","5,576.53","-","-0.88%"
"2024年7月10日","5,633.91","5,591.26","5,635.39","5,586.44","-","1.02%"
"2024年7月9日","5,576.98","5,584.24","5,590.75","5,574.57","-","0.07%"
"2024年7月8日","5,572.85","5,572.75","5,583.11","5,562.51","-","0.10%"
"2024年7月5日","5,567.19","5,537.91","5,570.33","5,531.63","-","0.54%"
"2024年7月3日","5,537.02","5,507.44","5,539.27","5,507.42","-","0.51%"
"2024年7月2日","5,509.01","5,461.84","5,509.69","5,458.43","-","0.62%"
"2024年7月1日","5,475.09","5,471.08","5,479.55","5,446.53","-","0.27%"
"2024年6月28日","5,460.48","5,488.48","5,523.64","5,451.12","-","-0.41%"
"2024年6月27日","5,482.87","5,473.59","5,490.81","5,467.54","-","0.09%"
