类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,Stock象限,S&P 500 TR,25%,
策略配置,Bond象限,易方达增强回报债券,25%,
策略配置,Gold象限,黄金 (XAU/CNY),25%,
策略配置,Cash象限,现金 (1%年化),25%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,10049.07,0.49
年度收益,2018,10049.07,9940.67,-1.08
年度收益,2019,9940.67,11109.8,11.76
年度收益,2020,11109.8,12100.98,8.92
年度收益,2021,12100.98,12989.36,7.34
年度收益,2022,12989.36,12873.41,-0.89
年度收益,2023,12873.41,13844.46,7.54
年度收益,2024,13844.46,15866.27,14.6
年度收益,2025,15866.27,18498.12,16.59
多年期几何平均,5年 (2020-11至2025-11),11763.54,18498.12,9.48
多年期几何平均,3年 (2022-11至2025-11),13022.38,18498.12,12.41
风险指标,最大回撤,2022-03 (峰值),2022-09 (谷底),-5.67
风险指标,修复时间,2022-09,2023-06,9个月
