类别,期间,起始价值,结束价值,年化收益率(%)
策略配置,资产1,S&P 500 TR,30%,
策略配置,资产2,易方达增强回报债券,40%,
策略配置,资产3,黄金 (XAU/CNY),20%,
策略配置,资产4,现金 (1%年化),10%,
策略说明,再平衡频率,年度1次,,
年度收益,2017,10000.0,10033.76,0.34
年度收益,2018,10033.76,9842.03,-1.91
年度收益,2019,9842.03,11071.9,12.5
年度收益,2020,11071.9,12145.14,9.69
年度收益,2021,12145.14,13224.35,8.89
年度收益,2022,13224.35,12912.25,-2.36
年度收益,2023,12912.25,13869.97,7.42
年度收益,2024,13869.97,15894.31,14.6
年度收益,2025,15894.31,18335.11,15.36
多年期几何平均,5年 (2020-11至2025-11),11799.41,18335.11,9.22
多年期几何平均,3年 (2022-11至2025-11),13100.64,18335.11,11.86
风险指标,最大回撤,2022-03 (峰值),2022-09 (谷底),-6.46
风险指标,修复时间,2022-09,2023-07,10个月
